Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
Thai Binh,1138.6,1788.1,93.7,0.04,1103.6,Hong river Delta,2013,61.71914322465186
Ha Nam,925.0,796.0,96.8,0.48,473.7,Hong river Delta,2013,59.510050251256274
Nam Dinh,1113.2,1839.9,96.0,0.26,1145.4,Hong river Delta,2013,62.253383336050874
Ninh Binh,672.8,927.2,99.1,0.87,584.1,Hong river Delta,2013,62.99611734253667
Ha Giang,98.0,775.8,100.6,1.86,499.1,Midlands and northern mountains,2013,64.33359113173499
Cao Bang,77.2,517.9,98.0,0.53,356.1,Midlands and northern mountains,2013,68.75844757675227
Bac Kan,62.8,305.2,103.1,0.7,214.9,Midlands and northern mountains,2013,70.41284403669725
Tuyen Quang,127.3,747.2,99.7,0.87,479.1,Midlands and northern mountains,2013,64.11937901498929
Lao Cai,102.7,655.9,101.0,1.45,405.3,Midlands and northern mountains,2013,61.792956243329776
Yen Bai,112.5,774.6,99.4,1.16,495.9,Midlands and northern mountains,2013,64.02013942680092
Thai Nguyen,326.9,1156.0,97.2,0.6,716.3,Midlands and northern mountains,2013,61.963667820069205
Lang Son,90.1,749.7,99.6,0.6,498.5,Midlands and northern mountains,2013,66.49326397225556
Bac Giang,417.7,1608.0,96.6,0.95,1000.0,Midlands and northern mountains,2013,62.189054726368155
Phu Tho,382.4,1351.2,97.3,0.78,867.0,Midlands and northern mountains,2013,64.1651865008881
Dien Bien,55.3,528.5,100.3,1.69,327.7,Midlands and northern mountains,2013,62.005676442762535
Lai Chau,44.7,405.7,103.0,2.1,246.4,Midlands and northern mountains,2013,60.73453290608825
Son La,81.2,1150.5,101.2,1.42,721.8,Midlands and northern mountains,2013,62.73794002607561
Hoa Binh,175.8,810.3,97.7,0.64,552.0,Midlands and northern mountains,2013,68.12291743798593
Thanh Hoa,312.4,3477.7,97.2,0.57,2224.2,North Central and Central Coast,2013,63.95606291514506
